coord_X,coord_Y,site_ID,BD_hybrid
-73.565925,45.478302,AGR10-HIGH01,1.35
-73.565856,45.478133,AGR10-HIGH02,1.24
-73.566711,45.477601,AGR10-HIGH04,1.26
-73.56549,45.47804,AGR10-MED01,1.22
-73.566415,45.477658,AGR10-MED02,1.26
-73.567199,45.47759,AGR10-MED03,1.32
-73.499485,45.681414,AGR11-HIGH04,1.38
-73.499347,45.682176,AGR11-HIGH06,0.93
-73.497658,45.68091,AGR11-HIGH07,0.96
-73.513592,45.694161,AGR11-LOW02,1.25
-73.515434,45.687831,AGR11-LOW03,1.05
-73.514567,45.687455,AGR11LOW04,0.7
-73.514371,45.696292,AGR11-MED01,1.18
-73.515638,45.692682,AGR11-MED02,1.22
-73.516342,45.695225,AGR11-MED04,1.33
-73.593734,45.444794,AGR1-HIGH01,1.39
-73.600078,45.442372,AGR1-HIGH03,0.98
-73.601438,45.444223,AGR1-HIGH04,1.42
-73.597642,45.442876,AGR1-LOW01,1.22
-73.598365,45.445915,AGR1-LOW02,1.12
-73.60378,45.444446,AGR1-LOW04,1
-73.59958,45.444833,AGR1-MED01,1.44
-73.60664,45.44441,AGR1-MED02,1.31
-73.59837,45.445204,AGR1-MED06,1.34
-73.928664,45.465456,AGR2-HIGH02,0.98
-73.932485,45.461411,AGR2-HIGH03,1.03
-73.925623,45.465613,AGR2-HIGH05,0.98
-73.935911,45.469908,AGR2-LOW03,0.97
-73.934192,45.464371,AGR2-LOW04,0.88
-73.93597,45.465367,AGR2-LOW05,1
-73.922407,45.462614,AGR2-MED02,1.52
-73.923436,45.461157,AGR2-MED04,1.62
-73.930153,45.460875,AGR2-MED05,0.96
-73.915674,45.459312,AGR4-HIGH03,1.2
-73.926698,45.452236,AGR4-HIGH05,0.98
-73.933123,45.455101,AGR4-HIGH06,0.91
-73.917165,45.456449,AGR4-LOW01,0.63
-73.921252,45.449667,AGR4-LOW02,1.02
-73.922722,45.449832,AGR4-LOW05,1.05
-73.912323,45.453086,AGR4-MED02,1.38
-73.923178,45.451912,AGR4-MED05,1.22
-73.913837,45.454706,AGR4-MED06,1.19
-73.56725,45.5262,AGR5-HIGH03,1.39
-73.57186,45.52673,AGR5-HIGH05,0.95
-73.565476,45.525395,AGR5-HIGH06,1.31
-73.56879,45.52764,AGR5-LOW03,1.25
-73.56956,45.52835,AGR5-LOW04,1.35
-73.56721,45.526932,AGR5-LOW06,1.53
-73.57237,45.52727,AGR5-MED01,1.26
-73.56877,45.52929,AGR5-MED04,1.36
-73.56828,45.52674,AGR5-MED05,1.25
-73.560306,45.475429,AGR6-HIGH01,1.06
-73.557373,45.475504,AGR6-HIGH02,1.05
-73.560161,45.474922,AGR6-HIGH03,1.2
-73.559511,45.475964,AGR6-LOW02,1.24
-73.558401,45.475197,AGR6-LOW03,1.27
-73.558016,45.475488,AGR6-LOW04,1.12
-73.558205,45.474087,AGR6-MED02,1.22
-73.559084,45.475184,AGR6-MED03,1.29
-73.558246,45.474703,AGR6-MED05,1.11
-73.63436,45.466479,AGR7-HIGH01,1.4
-73.633578,45.466292,AGR7-HIGH02,1.07
-73.63262,45.465615,AGR7-HIGH04,1.27
-73.632586,45.467058,AGR7-LOW03,1.18
-73.633379,45.467469,AGR7-LOW04,1.45
-73.632962,45.466424,AGR7-LOW05,0.84
-73.631594,45.466481,AGR7-MED02,1.26
-73.633041,45.465976,AGR7-MED03,1.29
-73.632004,45.465701,AGR7-MED04,1.48
-73.862887,45.424889,AGR8-HIGH01,0.91
-73.863109,45.424802,AGR8-HIGH04,0.52
-73.862539,45.423341,AGR8-HIGH05,1.22
-73.862902,45.423229,AGR8-LOW01,1.11
-73.863224,45.424134,AGR8-LOW03,1.06
-73.863923,45.424207,AGR8-MED02,1.05
-73.863248,45.42451,AGR8-MED04,0.77
-73.862902,45.424516,AGR8-MED05,0.99
-73.918435,45.409113,AGR9-HIGH03,0.09
-73.918658,45.409531,AGR9-HIGH04,0.19
-73.919959,45.408127,AGR9-HIGH05,1.21
-73.921277,45.409073,AGR9-LOW03,1.3
-73.921122,45.408803,AGR9-LOW05,1.26
-73.918824,45.409952,AGR9-LOW06,1.22
-73.918847,45.408259,AGR9-MED05,1.05
-73.920143,45.407775,AGR9-MED06,1.18
-73.920278,45.409263,AGR9-MED07,1.1
-73.510161,45.679012,FOR10-HIGH02,1.15
-73.510252,45.679844,FOR10-HIGH04,1.01
-73.512255,45.67738,FOR10-HIGH05,0.76
-73.51043,45.67619,FOR10-MED01,1.03
-73.509294,45.681693,FOR10-MED03,1.08
-73.509495,45.679529,FOR10-MED05,0.99
-73.537849,45.607964,FOR11-HIGH01,0.88
-73.537569,45.607312,FOR11-HIGH02,1.15
-73.540184,45.608567,FOR11-HIGH06,1.09
-73.534359,45.608011,FOR11-LOW01,1.21
-73.533891,45.608323,FOR11-LOW04,1.4
-73.536095,45.608646,FOR11-LOW06,1.19
-73.53738,45.608849,FOR11-MED03,0.68
-73.540637,45.609552,FOR11-MED04,1.28
-73.5337,45.607753,FOR11-MED05,1.47
-73.603372,45.441074,FOR1-HIGH01,0.64
-73.610566,45.440435,FOR1-HIGH03,1.09
-73.604904,45.439012,FOR1-HIGH04,0.93
-73.606013,45.442291,FOR1-LOW01,0.81
-73.610382,45.441916,FOR1-LOW02,1.2
-73.59804,45.44148,FOR1-LOW05,1.68
-73.601223,45.439958,FOR1-MED01,0.73
-73.600422,45.439815,FOR1-MED02,0.7
-73.608591,45.440873,FOR1-MED05,1.31
-73.771591,45.498793,FOR2-HIGH01,0.64
-73.774158,45.495629,FOR2-HIGH03,1.26
-73.77275,45.496877,FOR2-HIGH06,1.17
-73.7608823,45.5019144,FOR2-LOW01,1.04
-73.765308,45.502507,FOR2-LOW02,1.15
-73.762748,45.502151,FOR2-LOW04,1.13
-73.765877,45.499684,FOR2-MED01,1.1
-73.769994,45.500944,FOR2-MED03,1.11
-73.766643,45.499821,FOR2-MED04,1.27
-73.740628,45.516895,FOR3-HIGH01,0.64
-73.734117,45.515853,FOR3-HIGH03,0.84
-73.73356,45.516523,FOR3-HIGH06,0.8
-73.731843,45.515774,FOR3-LOW03,0.53
-73.736891,45.514538,FOR3-LOW04,0.81
-73.735387,45.515365,FOR3-LOW05,0.67
-73.734625,45.515549,FOR3-MED03,1.19
-73.742833,45.517751,FOR3-MED04,0.94
-73.737221,45.515186,FOR3-MED05,1.2
