coord_X,coord_Y,site_ID,Cr_conc,Ni_conc,Cu_conc,Zn_conc,As_conc,Cd_conc,Hg_conc,Pb_conc
-73.593734,45.444794,AGR1-HIGH01,256,37,29,89,9,0,0,23
-73.600078,45.442372,AGR1-HIGH03,222,36,32,117,5,0,0,59
-73.601438,45.444223,AGR1-HIGH04,184,44,23,86,8,0,0,28
-73.597642,45.442876,AGR1-LOW01,159,53,26,152,7,0,0,68
-73.598365,45.445915,AGR1-LOW02,208,38,35,132,7,0,0,47
-73.60378,45.444446,AGR1-LOW04,223,37,36,124,8,0,0,44
-73.59958,45.444833,AGR1-MED01,190,51,32,126,6,0,0,35
-73.60664,45.44441,AGR1-MED02,208,40,37,125,7,0,0,38
-73.59837,45.445204,AGR1-MED06,191,49,33,118,7,0,2,40
-73.928664,45.465456,AGR2-HIGH02,124,44,39,107,5,0,0,42
-73.932485,45.461411,AGR2-HIGH03,148,36,31,109,5,0,0,41
-73.925623,45.465613,AGR2-HIGH05,214,37,34,92,9,0,0,54
-73.935911,45.469908,AGR2-LOW03,16,22,31,149,2,6,0,84
-73.934192,45.464371,AGR2-LOW04,228,49,50,175,8,0,0,109
-73.93597,45.465367,AGR2-LOW05,166,43,81,180,7,0,0,76
-73.922407,45.462614,AGR2-MED02,342,46,58,169,4,0,0,125
-73.923436,45.461157,AGR2-MED04,337,59,75,180,10,0,0,143
-73.930153,45.460875,AGR2-MED05,329,47,110,281,9,0,0,222
-73.915674,45.459312,AGR4-HIGH03,270,47,53,122,7,0,0,85
-73.926698,45.452236,AGR4-HIGH05,187,51,34,123,8,0,0,61
-73.933123,45.455101,AGR4-HIGH06,158,50,37,122,11,0,0,40
-73.917165,45.456449,AGR4-LOW01,215,54,37,107,14,0,0,34
-73.921252,45.449667,AGR4-LOW02,212,45,24,109,11,0,0,30
-73.922722,45.449832,AGR4-LOW05,177,57,39,80,12,0,0,44
-73.912323,45.453086,AGR4-MED02,243,44,28,124,15,0,0,38
-73.923178,45.451912,AGR4-MED05,127,41,26,94,7,0,0,31
-73.913837,45.454706,AGR4-MED06,211,63,35,90,20,0,0,35
-73.56725,45.5262,AGR5-HIGH03,165,84,40,105,9,0,0,30
-73.57186,45.52673,AGR5-HIGH05,174,49,34,96,20,0,0,41
-73.565476,45.525395,AGR5-HIGH06,322,36,60,353,17,0,0,111
-73.56879,45.52764,AGR5-LOW03,161,50,47,133,7,0,0,40
-73.56956,45.52835,AGR5-LOW04,182,49,29,109,5,0,0,25
-73.56721,45.526932,AGR5-LOW06,145,40,26,98,2,0,0,20
-73.57237,45.52727,AGR5-MED01,167,47,29,85,2,0,0,18
-73.56877,45.52929,AGR5-MED04,219,40,25,100,4,0,3,21
-73.56828,45.52674,AGR5-MED05,224,42,31,108,5,0,0,31
-73.560306,45.475429,AGR6-HIGH01,285,49,37,114,8,0,0,41
-73.557373,45.475504,AGR6-HIGH02,243,61,34,134,8,0,0,37
-73.560161,45.474922,AGR6-HIGH03,231,48,45,168,13,0,0,102
-73.559511,45.475964,AGR6-LOW02,228,52,54,174,10,0,0,105
